workflow_name,workflow_id,active,finding_ref,severity,finding,node,tool_fix_class,disposition,disposition_note
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,CRED-003,Critical,Hardcoded jwt_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,CRED-001,High,Hardcoded bearer_token detected,Create GHL Contact,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,CRED-002,High,Hardcoded bearer_token detected,Send GHL Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,CRED-004,High,Hardcoded bearer_token detected,Mark Email Sent in Supabase,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,WEBHOOK-001,Medium,"Unauthenticated webhook: ""Quiz Webhook""",Quiz Webhook,Auto-fix,NEW-UNIT-RECOMMENDED,NEW-U120 (instance-wide unauthenticated-webhook remediation)
1MLT Speaker Quiz - Contact + Email,FLTASpOvJelzbI3H,False,ERR-001,Medium,"No error handling in workflow ""1MLT Speaker Quiz - Contact + Email""",—,Review,NEW-UNIT-RECOMMENDED,NEW-U121 (instance-wide error-handling coverage)
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,CRED-003,Critical,Hardcoded jwt_token detected,Mark Email Sent,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,CRED-001,High,Hardcoded bearer_token detected,Create GHL Contact,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,CRED-002,High,Hardcoded bearer_token detected,Send GHL Email,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
1MLT Speaker Quiz - Contact + Email,NorcPNC4T3dCYjhF,True,CRED-004,High,Hardcoded bearer_token detected,Mark Email Sent,Auto-fix,NEW-UNIT-RECOMMENDED,"NEW-U118 (instance-wide hardcoded-credential vaulting, secret class)"
